id igralca,ime,vloga
0293509,Martin Freeman,Dr. John Watson
0835939,Una Stubbs,Mrs. Hudson
0001291,Rupert Graves,DI Lestrade
1154764,Louise Brealey,Molly Hooper
0309693,Mark Gatiss,Mycroft Holmes
0778831,Andrew Scott,Jim Moriarty
0007893,Amanda Abbington,Mary Watson
0034877,Jonathan Aris,Anderson
0000059,Laurence Olivier,Himself - Narrator
0041003,David Attenborough,Himself - Narrator
0001856,Oprah Winfrey,Herself - Narrator (U.S. Broadcast)
0001832,Sam Waterston,President Abraham Lincoln
0364915,Julie Harris,Mary Chestnut
0001673,Jason Robards,Ulysses S. Grant
0000151,Morgan Freeman,Frederick Douglass
0736259,Paul Roebling,Joshua L. Chamberlain
0445087,Garrison Keillor,Walt Whitman
2716065,George Black,Robert E. Lee
0567184,David McCullough,Himself - Narrator
0007186,Arthur Miller,William Tecumseh Sherman
0613997,Christopher Murney,Pvt. Elijah Hunt Rhodes
3661884,Charles McDowell,Pvt. Sam Watkins
0285210,Horton Foote,Jefferson Davis
0687321,George Plimpton,George Templeton Strong
0097842,Philip Bosco,Horace Greeley
2717131,Terry Courier,George McClellan
0694169,Jody Powell,Stonewall Jackson
0855602,Studs Terkel,Benjamin F. Butler
0000460,Jeremy Irons,Various
0001394,Derek Jacobi,Various
0903361,Kurt Vonnegut Jr.,Various
0428122,Gene Jones,Various
0218731,Jerome Dempsey,Various
0000401,Laurence Fishburne,Various
1263066,Betsy Apple,Various
2740370,Carol Craven,Various
0178636,Marissa Copeland,Various
2663877,Halo Wines,Various
0548801,David Marks,Various
0715622,Pamela Reed,Various
0318224,Ronnie Gilbert,Various
0001826,M. Emmet Walsh,Various
0001924,Hoyt Axton,Various
0366698,John Hartford,Various
0534249,Walt MacPherson,Various
0223157,Colleen Dewhurst,Various
0724665,LaTanya Richardson Jackson,Various
6166035,Bradford Washburn,Various
1177540,Jesse Carr,Various
3656026,Wendy Tilghman,Various
0560514,Joe Mattys,Various
0285231,Shelby Foote,Himself - Writer
0064007,Ed Bearss,Himself - Historian
2719095,Barbara Fields,Herself - Historian
2683775,James Symington,Himself - Former Congressman
6562725,Stephen B. Oates,Himself - Historian
0048389,Dee Bradley Baker,Appa
0878940,Zach Tyler,Aang
0926165,Mae Whitman,Katara
1123750,Jack De Sena,Sokka
0002364,Dante Basco,Prince Zuko
1402100,Jessie Flower,Toph
0538683,Mako,Uncle
0277213,Nathan Fillion,Captain Malcolm 'Mal' Reynolds
0868659,Gina Torres,Zoë Washburne
0876138,Alan Tudyk,Hoban 'Wash' Washburne
1072555,Morena Baccarin,Inara Serra
0000284,Adam Baldwin,Jayne Cobb
0821612,Jewel Staite,Kaylee Frye
0536883,Sean Maher,Dr. Simon Tam
1132359,Summer Glau,River Tam
0322002,Ron Glass,Shepherd Book
0000457,John Hurt,Narrator
1056659,John Oliver,Himself - Host
0443286,David Kaye,Himself
0054007,Artur Barcis,Young Man
0525557,Olgierd Lukaszewicz,Andrzej
0523821,Olaf Lubaszenko,Tomek
0532536,Piotr Machalica,Roman
0856227,Jan Tesarz,Taxi Driver
0686133,Katarzyna Piwowarczyk,Ania
0053017,Henryk Baranowski,Krzysztof
0417370,Krystyna Janda,Dorota Geller
0054270,Aleksander Bardini,Consultant
0310702,Stanislaw Gawlik,Postman
0475009,Krzysztof Kumor,Gynecologist
0939697,Evan Rachel Wood,Dolores Abernathy
0628601,Thandie Newton,Maeve Millay
0005188,James Marsden,Teddy Flood
0000438,Ed Harris,Man in Black
0942482,Jeffrey Wright,Bernard Lowe
0000164,Anthony Hopkins,Dr. Robert Ford
0785245,Rod Serling,Narrator
0000190,Matthew McConaughey,Detective Rust Cohle
0268199,Colin Farrell,Detective Ray Velcoro
0000437,Woody Harrelson,Detective Marty Hart
1046097,Rachel McAdams,Detective Ani Bezzerides
1157358,Michelle Monaghan,Maggie Hart
2018237,Taylor Kitsch,Officer Paul Woodrugh
0693446,Michael Potts,Detective Maynard Gilbough
0717709,Kelly Reilly,Jordan Semyon
0457796,Tory Kittles,Detective Thomas Papania
0000681,Vince Vaughn,Frank Semyon
1651119,Chris Kerson,Nails
0182662,Ritchie Coster,Mayor Austin Chessani
0048336,Christopher James Baker,Blake Churchman
0648416,Afemo Omilami,Police Chief Holloway
0289656,James Frain,Lieutenant Kevin Burris
0263625,J.D. Evermore,Detective Lutz
0533268,Andy Mackenzie,Ivar
4158239,Dana Gourrier,Cathleen
0409831,Michael Irby,Detective Elvis Ilinca
0817844,Abigail Spencer,Gena Brune
1182011,Timothy V. Murphy,Osip Agronov
2199657,Yara Martinez,Felicia
5245722,Adria Arjona,Emily
4068901,Madison Wolfe,Audrey Hart
1751175,Alain Uy,Ernst Bodine
0512455,Jon Lindstrom,Jacob McCandless
0242656,Kevin Dunn,Major Ken Quesada
0114868,W. Earl Brown,Detective Teague Dixon
0159609,Joe Chrest,Detective Demma
0404924,Michael Hyatt,Katherine Davis
1628079,Leven Rambin,Athena Bezzerides
6437307,Lera Lynn,Singer
1694797,Dane Rhodes,Detective Favre
1275259,Alexandra Daddario,Lisa Tragnetti
0496934,C.S. Lee,Richard Geldof
