id igralca,ime,vloga
0338614,James Marshall,James Hurley
0569239,Everett McGill,Big Ed Hurley
0620756,Jack Nance,Pete Martell
0001040,Joan Chen,Jocelyn Packard
0731927,Kimmy Robertson,Lucy Moran
0395398,Michael Horse,Deputy Tommy 'Hawk' Hill
0001453,Piper Laurie,Catherine Martell
0323556,Harry Goaz,Deputy Andy Brennan
0201121,Eric DaRe,Leo Johnson
0732133,Wendy Robie,Nadine Hurley
0936403,Ray Wise,Leland Palmer
0498247,Sheryl Lee,Maddy Ferguson
0848560,Russ Tamblyn,Dr. Lawrence Jacoby
0204493,Don S. Davis,Maj. Garland Briggs
0611889,Chris Mulkey,Hank Jennings
0380912,Gary Hershberger,Mike Nelson
0951471,Grace Zabriskie,Sarah Palmer
3637941,Chris Martin Hill,Police officer 840
4789912,Hannah John-Kamen,Selma Telse
7379039,Beatrice Robertson-Jones,Older May Double
0085944,Paul Blackwell,Police officer
0000098,Jennifer Aniston,Rachel Green
0001073,Courteney Cox,Monica Geller
0001435,Lisa Kudrow,Phoebe Buffay
0001455,Matt LeBlanc,Joey Tribbiani
0001612,Matthew Perry,Chandler Bing
0001710,David Schwimmer,Dr. Ross Geller
0878837,James Michael Tyler,Gunther
0001394,Derek Jacobi,Claudius
0048468,George Baker,Tiberius
0879239,Margaret Tyzack,Antonia
0680795,Siân Phillips,Livia
0000306,Brian Blessed,Augustus
0269077,James Faulkner,Herod Agrippa
0419248,David Jason,Derek 'Del Boy' Trotter
0528525,Nicholas Lyndhurst,Rodney Trotter
0516181,Roger Lloyd Pack,Trigger
0581467,Buster Merryfield,Uncle Albert Trotter
0149998,John Challis,Boycie
0531811,Kenneth MacDonald,Mike Fisher
0004802,Linda Cardellini,Lindsay Weir
0197855,John Francis Daley,Sam Weir
0290556,James Franco,Daniel Desario
0505949,Samm Levine,Neal Schweiber
0736622,Seth Rogen,Ken Miller
0781981,Jason Segel,Nick Andopolis
0771414,Martin Starr,Bill Haverchuck
0048250,Becky Ann Baker,Jean Weir
0280886,Joe Flaherty,Harold Weir
0005311,Busy Philipps,Kim Kelly
0052446,Steve Bannos,Frank Kowchevski
0020405,Dave Allen,Jeff Rosso
0353247,Sarah Hagan,Millie Kentner
0582202,Jerry Messing,Gordon Crisp
0578184,Natasha Melnick,Cindy Sanders
0791991,Stephen Lea Sheppard,Harris Trinsky
0503140,Chauncey Leopardi,Alan White
0000100,Rowan Atkinson,Captain Edmund Blackadder
0733153,Tony Robinson,Private S Baldrick
0000410,Stephen Fry,General Sir Anthony Cecil Hogmanay Melchett
0491402,Hugh Laurie,Lieutenant The Honourable George Colthurst St. Barleigh
0570570,Tim McInnerny,Captain Kevin Darling
0728762,Jason Ritter,Dipper Pines
1102891,Kristen Schaal,Mabel Pines
3229215,Alex Hirsch,Grunkle Stan
0004802,Linda Cardellini,Wendy Corduroy
0724656,Kevin Michael Richardson,Sheriff Blubs
1480095,Matt Chapman,Additional Voices
1312566,Kari Wahlgren,Additional Voices
0224007,John DiMaggio,Manly Dan
0571727,Kevin McKidd,Lucius Vorenus
0829032,Ray Stevenson,Titus Pullo
0908116,Polly Walker,Atia of the Julii
0174403,Kerry Condon,Octavia of the Julii
0700856,James Purefoy,Mark Antony
0573862,Ian McNeice,Newsreader
2054115,Coral Amiga,Vorena the Elder
0242026,Lindsay Duncan,Servilia of the Junii
0083162,Lidia Biondi,Merula
0580014,Tobias Menzies,Marcus Junius Brutus
0940245,Nicholas Woodeson,Posca
0051394,David Bamber,Marcus Tullius Cicero
1493547,Chiara Mastalli,Eirene
0019681,Manfredi Aliquo,Castor
0890055,Indira Varma,Niobe
0078136,Suzanne Bertish,Eleni
1263986,Max Pirkis,Gaius Octavian
0090196,Lee Boardman,Timon
0355563,Esther Hall,Lyde
0001354,Ciarán Hinds,Gaius Julius Caesar
1907551,Anna Fausta Primiano,Vorena the Younger
0621382,Michael Nardone,Mascius
0000092,John Cleese,Basil Fawlty
0768795,Prunella Scales,Sybil Fawlty
0755133,Andrew Sachs,Manuel
0095665,Connie Booth,Polly Sherman
0075326,Ballard Berkeley,Major Gowen
0283148,Gilly Flower,Miss Agatha Tibbs
0731513,Renee Roberts,Miss Ursula Gatsby
0355363,Brian Hall,Terry
2946516,Claire Foy,Queen Elizabeth II
1741002,Matt Smith,"Philip, Duke of Edinburgh"
3948952,Vanessa Kirby,Princess Margaret
0000562,Jeremy Northam,Anthony Eden
0001475,John Lithgow,Winston Churchill
0358200,Victoria Hamilton,"Queen Elizabeth, the Queen Mother"
0384997,James Hillier,Patrick
0746583,Nicholas Rowe,Jock Colville
0868476,Pip Torrens,Tommy Lascelles
0587060,Ben Miles,Peter Townsend
0910040,Harriet Walter,Clementine Churchill
4544531,Andy Sanderson,"Prince Henry, Duke of Gloucester"
0079418,Daniel Betts,Prince Ernst von Hannover
0290117,Clive Francis,Lord Salisbury
2227000,Harry Hadden-Paton,Martin Charteris
1652308,Will Keen,Michael Adeane
0570569,Lizzy McInnerny,Bobo Macdonald
0144657,Dan Castellaneta,Homer Simpson
0001413,Julie Kavner,Marge Simpson
0004813,Nancy Cartwright,Bart Simpson
0810379,Yeardley Smith,Lisa Simpson
0733427,Harry Shearer,Ned Flanders
0000279,Hank Azaria,Moe Szyslak
0370788,Pamela Hayden,Milhouse Van Houten
0534134,Tress MacNeille,Dolph
0927293,Karl Wiedergott,Additional Voices
0001368,Ernie Hudson,Warden Leo Glynn
0799777,J.K. Simmons,Vern Schillinger
0855564,Lee Tergesen,Tobias Beecher
0935921,Dean Winters,Ryan O'Reily
0604420,George Morfogen,Bob Rebadow
0455767,Terry Kinney,Tim McManus
0001549,Rita Moreno,Sister Peter Marie Reimondo
0674782,Harold Perrineau,Augustus Hill
0907708,Eamonn Walker,Kareem Said
0196185,Craig muMs Grant,Poet
0904967,Lauren Luna Vélez,Dr. Gloria Nathan
0010999,Granville Adams,Zahir Arif
0546306,Tom Mardirosian,Agamemnon Busmalis
0009716,Kirk Acevedo,Miguel Alvarez
0000703,BD Wong,Father Ray Mukada
0957257,Chuck Zito,Chucky Pancamo
0780070,Philip Scozzarella,Officer Joseph Mineo
0936001,Scott William Winters,Cyril O'Reily
0761024,Otto Sanchez,Chico Guerra
0005221,Christopher Meloni,Chris Keller
0167024,Robert Clohessy,Officer Sean Murphy
0734764,R.E. Rodgers,James Robson
0737480,Kristin Rohde,Officer Claire Howell
0227151,Carl DiMaggio,Officer Len Lopresti
0782640,Evan Seinfeld,Jaz Hoyt
0015382,Adewale Akinnuoye-Agbaje,Simon Adebisi
2988520,Timothy L. Brown,Officer Jason Armstrong
0411964,Zeljko Ivanek,Governor James Devlin
0936549,Steven Wishnoff,Tony Masters
0953882,David Zayas,Enrique Morales
0240831,Sean Dugan,Timmy Kirk
0158207,Anthony Chisholm,Burr Redding
0004908,Edie Falco,Officer Diane Whittlesey
0412907,J.D. Williams,Kenny Wangler
8390567,Dolores Avery,Herself
7804130,Steven Avery,Himself
7907003,Ken Kratz,Himself
7907011,Brendan Dassey,Himself
0107950,Jeremy Brett,Sherlock Holmes
0362570,Edward Hardwicke,Dr. Watson
0769315,Rosalie Williams,Mrs Hudson
6754631,Robert Durst,Himself
1285613,Andrew Jarecki,Himself
3951768,Gary Napoli,Robert Durst
2835273,Debra Kay Anderson,Susan Berman
2048997,Dick Deguerin,Himself
6274655,Michael Simon Hall,Seymour Durst
3688777,Kevin J. Hynes,Himself
1984860,Jeanine Pirro,Herself
0005295,Trey Parker,Stan Marsh
0001778,Matt Stone,Kyle Broflovski
0551065,Mona Marshall,Sheila Broflovski
0829181,April Stewart,Sharon Marsh
0005002,Isaac Hayes,Chef
0364629,Doc Harris,Narrator
0754526,Christopher Sabat,Piccolo
0770832,Sean Schemmel,Goku
0458342,Terry Klassen,Krillin
0573926,Scott McNeil,Piccolo
0238546,Brian Drummond,Vegeta
0833185,Sonny Strait,Krillin
0618955,Stephanie Nadolny,Gohan
0607516,Kirby Morrow,Goku
1694019,Dale Kelly,Narrator
0901624,Tiffany Vollmer,Bulma
0113427,Don Brown,Hercule
1195582,Jillian Michaels,Goten
1035500,Kyle Hebert,Narrator
0170809,Ted Cole,Yamcha
0186528,Cynthia Cranz,Chi-Chi
0568772,Mike McFarland,Master Roshi
0921699,Cathy Weseluck,Trunks
0067754,Lisa Ann Beley,Chi-Chi
0000158,Tom Hanks,Himself - Host
0780678,Nick Searcy,Deke Slayton
0809031,Lane Smith,Emmett Seaborn
0028625,David Andrews,Frank Borman
0446298,Daniel Hugh Kelly,Gene Cernan
0740535,Stephen Root,Chris Kraft
0071304,H. Jon Benjamin,Sterling Archer
0339460,Judy Greer,Cheryl Tunt
2436722,Amber Nash,Pam Poovey
0663177,Chris Parnell,Cyril Figgis
0878768,Aisha Tyler,Lana Kane
0910055,Jessica Walter,Malory Archer
0994488,Adam Reed,Ray Gillette
0946793,Lucky Yates,Doctor Krieger
0491402,Hugh Laurie,Dr. Gregory House
0004898,Omar Epps,Dr. Eric Foreman
0000494,Robert Sean Leonard,Dr. James Wilson
0817980,Jesse Spencer,Dr. Robert Chase
0249046,Lisa Edelstein,Dr. Lisa Cuddy
0075061,Bobbin Bergstrom,Nurse
0607185,Jennifer Morrison,Dr. Allison Cameron
0414772,Peter Jacobson,Dr. Chris Taub
1312575,Olivia Wilde,Dr. Remy 'Thirteen' Hadley
0893257,Milo Ventimiglia,Jack Pearson
0601553,Mandy Moore,Rebecca Pearson
1250791,Sterling K. Brown,Randall Pearson
1978680,Chrissy Metz,Kate Pearsom
1261997,Justin Hartley,Kevin Pearson
1635244,Susan Kelechi Watson,Beth Pearson
2884388,Chris Sullivan,Toby Damon
0429171,Ron Cephas Jones,William Hill
7968936,Faithe Herman,Annie Pearson
8082633,Eris Baker,Tess Pearson
6807858,Lonnie Chavis,9 Year Old Randall
8383168,Mackenzie Hancsicsak,9 Year Old Kate
7827879,Parker Bates,9 Year Old Kevin
0005030,Jon Huertas,Miguel
1414369,Richard Hammond,Himself - Presenter
0165087,Jeremy Clarkson,Himself - Presenter
0561982,James May,Himself - Presenter
2247190,Ben Collins,The Stig
5103457,The Stig,Himself
0206359,Charlie Day,Charlie Kelly
1097351,Glenn Howerton,Dennis Reynolds
0568390,Rob McElhenney,Mac
0647698,Kaitlin Olson,Dee Reynolds
0000362,Danny DeVito,Frank Reynolds
2095800,Marina Inoue,Armin Arlert
2569233,Yuki Kaji,Eren Jaeger
2171329,Josh Grelle,Narrator
0745310,Bryce Papenbrook,Eren Jaeger
3426369,Yui Ishikawa,Mikasa Ackermann
2986974,Trina Nishimura,Mikasa Ackermann
1063029,Kishô Taniyama,Jean Kirschtein
5680826,Shigeyuki Susaki,Soldier
0568772,Mike McFarland,Jean Kirschtein
1328775,Daisuke Ono,Erwin Smith
0436778,Hiroshi Kamiya,Levi
1683003,Hiro Shimono,Connie Springer
5691003,Kazuhiro Fusegawa,Soldier
2233310,Matthew Mercer,Levi
2049893,Yu Kobayashi,Sasha Braus
5157463,Clifford Chapin,Conny Springer
2057312,J. Michael Tatum,Erwin Smith
3950075,Ashly Burch,Sasha Braus
2893431,Yoshimasa Hosoya,Reiner Braun
4986657,Ryôta Ôsaka,Marco Bodt
4896133,Yuya Murakami,Ian Dietrich
3119972,Lauren Landa,Annie Leonhart
0933988,Rainn Wilson,Dwight Schrute
1024677,John Krasinski,Jim Halpert
0278979,Jenna Fischer,Pam Beesly
1534715,Leslie David Baker,Stanley Hudson
1580911,Brian Baumgartner,Kevin Malone
1526554,Angela Kinsey,Angela Martin
0809613,Phyllis Smith,Phyllis Vance
0281212,Kate Flannery,Meredith Palmer
0105588,Creed Bratton,Creed Bratton
1386645,Oscar Nuñez,Oscar Martinez
1145983,B.J. Novak,Ryan Howard
1411676,Mindy Kaling,Kelly Kapoor
1159180,Ed Helms,Andy Bernard
0509425,Paul Lieberstein,Toby Flenderson
0136797,Steve Carell,Michael Scott
0732497,Craig Robinson,Darryl Philbin
2608689,Ellie Kemper,Erin Hannon
4751364,Megumi Han,Gon Freecss
2540995,Mariya Ise,Killua Zoldyck
0620657,Daisuke Namikawa,Hisoka
1328076,Miyuki Sawashiro,Kurapika
1465001,Mamoru Miyano,Rintaro Okabe
1411540,Asami Imai,Kurisu Makise
2573928,Kana Hanazawa,Mayuri Shiina
2986974,Trina Nishimura,Kurisu Makise
6235221,Jackie Ross,Mayuri Shiina
2057312,J. Michael Tatum,Rintaro Okabe
0782840,Tomokazu Seki,Itaru Hashida
4535080,Tyson Rinehart,Daru
0473873,Cherami Leigh,Suzuha Amane
0848801,Yukari Tamura,Suzuha Amane
2353731,Saori Gotô,Moeka Kiryuu
2049893,Yu Kobayashi,Ruka Urushibara
1111054,Masaki Terasoma,Yuugo Tennouji
4857862,Jessica Cavanagh,Moeka Kiryu
0470244,Peter Krause,Nate Fisher
0355910,Michael C. Hall,David Fisher
0175814,Frances Conroy,Ruth Fisher
0024404,Lauren Ambrose,Claire Fisher
0135585,Freddy Rodríguez,Federico 'Rico' Diaz
0820783,Mathew St. Patrick,Keith Charles
0341737,Rachel Griffiths,Brenda Chenowith
0532461,Justina Machado,Vanessa Diaz
0005438,Jeremy Sisto,Billy Chenowith
1519722,Brenna Tosh,Maya Fisher
1519723,Bronwyn Tosh,Maya Fisher
0000342,James Cromwell,George Sibley
0152638,Dave Chappelle,Various
0712603,Donnell Rawlings,Announcer
0997901,Rudy Rush,Announcer
0614151,Charlie Murphy,Himself
0107366,Neal Brennan,Himself
0127373,Louis C.K.,Horace
0000114,Steve Buscemi,Pete
0004908,Edie Falco,Sylvia
0942833,Steven Wright,Leon
3241461,Kurt Metzger,Kurt
0000257,Alan Alda,Uncle Pete
0001448,Jessica Lange,Marsha
6070926,Liza Treyger,Melissa
0614165,Cillian Murphy,Thomas Shelby
2167957,Paul Anderson,Arthur Shelby
3771184,Joe Cole,John Shelby
0567031,Helen McCrory,Aunt Polly
2570706,Sophie Rundle,Ada Shelby
0219329,Ned Dennehy,Charlie Strong
0669667,Ian Peck,Curly
1834115,Annabelle Wallis,Grace Burgess
0686029,Tony Pitts,Sergeant Moss
0000554,Sam Neill,Inspector Chester Campbell
2929682,Aimee-Ffion Edwards,Esme Shelby
4542634,Eric Campbell,Policeman
6806440,Finn Cole,Michael Gray
6804376,Harry Kirton,Finn Shelby
0497970,Packy Lee,Johnny Dogs
3761798,Natasha O'Keeffe,Lizzie Stark
5874123,Jeffrey Postlethwaite,Henry
5860972,Matthew Postlethwaite,Nipper
6304865,Jordan Bolger,Isiah
6196797,Josefine Frida Pettersen,Noora Amalie Sætre
8175494,Iman Meskini,Sana Bakkoush
8175406,Lisa Teige,Eva Kviig Mohn
8175408,Tarjei Sandvik Moe,Isak Valtersen
8000701,Ulrikke Falch,Vilde Hellerud Lien
8175407,Marlon Langeland,Jonas Noah Vasquez
2924793,Ina Svenningdal,Chris Berg
8175918,Thomas Hayes,William Magnusson
4794692,Herman Tømmeraas,Christoffer Schistad
2827936,Carl Martin Eggesbø,Eskild Tryggvason
8175409,Cecilie Martinsen,Ingrid Theis Gaupseth
0637586,Masako Nozawa,Son Gohan
0945881,Jôji Yanami,Narration
0849028,Mayumi Tanaka,Kuririn
1035500,Kyle Hebert,Narrator
0754526,Christopher Sabat,Vegeta
0770832,Sean Schemmel,Goku
0618955,Stephanie Nadolny,Gohan
0299192,Toshio Furukawa,Piccolo
0394690,Ryô Horikawa,Vegeta
0833185,Sonny Strait,Krillin
0875442,Hiromi Tsuru,Bulma
0901624,Tiffany Vollmer,Bulma
0840721,Hirotaka Suzuoki,Tenshinhan
0351338,Daisuke Gôri,Mister Satan
0476223,Takeshi Kusao,Trunks
0913844,Naoko Watanabe,Chichi
0299228,Tôru Furuya,Yamcha
0568772,Mike McFarland,Master Roshi
0186528,Cynthia Cranz,Chi-Chi
0107950,Jeremy Brett,Sherlock Holmes
0121651,David Burke,Dr Watson
0769315,Rosalie Williams,Mrs Hudson
0005049,Allison Janney,C.J. Cregg
0817983,John Spencer,Leo McGarry
0925966,Bradley Whitford,Josh Lyman
0000640,Martin Sheen,President Josiah 'Jed' Bartlet
0597223,Janel Moloney,Donna Moss
0771493,Richard Schiff,Toby Ziegler
0384211,Dulé Hill,Charlie Young
0732947,NiCole Robinson,Margaret
0280330,Melissa Fitzgerald,Carol Fitzpatrick
0000507,Rob Lowe,Sam Seaborn
0539651,Joshua Malina,Will Bailey
0000330,Stockard Channing,Abbey Bartlet
0000191,Ewan McGregor,Himself
0095564,Charley Boorman,Himself
1256362,David Alexanian,Himself
1748959,Russ Malkin,Himself
1057560,Jimmy Simak,Himself
1392160,Claudio von Planta,Himself
0648249,Timothy Olyphant,Seth Bullock
0574534,Ian McShane,Al Swearengen
0662504,Molly Parker,Alma Garret
0000374,Brad Dourif,Doc Cochran
0114868,W. Earl Brown,Dan Dority
0370035,John Hawkes,Sol Star
0539155,Paula Malcomson,Trixie
0130502,Dayton Callie,Charlie Utter
0728132,Leon Rippy,Tom Nuttall
0761836,William Sanderson,E.B. Farnum
0917848,Robin Weigert,Calamity Jane
0108703,Sean Bridgers,Johnny Burns
1587626,Bree Seanna Wall,Sofia Metz
0064769,Jim Beaver,Whitney Ellsworth
0000470,Jeffrey Jones,A.W. Merrick
0225332,Kim Dickens,Joanie Stubbs
0000959,Powers Boothe,Cy Tolliver
0920038,Titus Welliver,Silas Adams
0419273,Peter Jason,Con Stapleton
0348152,Anna Gunn,Martha Bullock
0147738,Larry Cedar,Leon
0422434,Geri Jewell,Jewel
1615488,Ralph Richeson,Richardson
0949775,Keone Young,Mr. Wu
1572587,Ashleigh Kizer,Dolly
0226813,Garret Dillahunt,Francis Wolcott
0000380,Robert Duvall,Augustus 'Gus' McCrae
0000169,Tommy Lee Jones,Woodrow F. Call
0000418,Danny Glover,Joshua Deets
0000178,Diane Lane,Lorena Wood
0001810,Robert Urich,Jake Spoon
0002078,Frederic Forrest,Blue Duck
0000665,D.B. Sweeney,Dish Boggett
0005401,Ricky Schroder,Newt Dobbs
0001378,Anjelica Huston,Clara Allen
0177933,Chris Cooper,July Johnson
0779850,Timothy Scott,Pea Eye Parker
0000444,Glenne Headly,Elmira Boot Johnson
0179224,Barry Corbin,Roscoe Brown
0761836,William Sanderson,Lippy Jones
0875613,Barry Tubb,Jasper Fant
0641398,Gavan O'Herlihy,Dan Suggs
0000114,Steve Buscemi,Luke
0168918,Frederick Coffin,Big Zwey
0842899,Travis Swords,Allan O'Brien
0641870,Kevin O'Morrison,Doctor
0923343,Ron Weyand,Old Hugh
0280890,Lanny Flaherty,Soupy Jones
0139312,David Carpenter,Needle Nelson
0573502,James McMurtry,Jimmy Rainey
0371575,Charlie Haynie,Ben Rainey
0570517,James Terry McIlvain,Cowboy
0205479,Sonny Carl Davis,Bert Borum
0554830,Jorge Martínez de Hoyos,Po Campo
0801988,León Singer,Bolivar
0175465,Thomas Connor,Bob Allen
0081847,Jerry Biggs,Roy Suggs
0187811,Missy Crider,Sally Allen
0377365,Sean Hennigan,Eddie Suggs
0822539,Lauren Stanley,Betsy Allen
0855132,Julius Tennon,Frog Lip
0128453,Jack Caffrey,Cholo
0267054,Adam Faraizl,Joe Boot
0681790,Jimmy Ray Pickens,Bill Spettle
0339562,Bradley Gregg,Sean O'Brien
0797151,Nina Siemaszko,Janey
0218923,Daniela Denby-Ashe,Margaret Hale
0035514,Richard Armitage,John Thornton
0683116,Tim Pigott-Smith,Richard Hale
0193661,Sinéad Cusack,Hannah Thornton
0185354,Brendan Coyle,Nicholas Higgins
0704351,Pauline Quirke,Dixon
1126318,Jo Joyner,Fanny Thornton
1888062,Kay Lyon,Mary Higgins
0544334,Lesley Manville,Maria Hale
1269412,Anna Maxwell Martin,Bessy Higgins
1326011,Emma Ferguson,Edith Lennox
0095388,Jane Booker,Mrs. Shaw
1275111,Tom Charnock,Williams
0396908,William Houston,John Boucher
0509936,John Light,Henry Lennox
0698846,Brian Protheroe,Mr. Bell
0846145,Will Tacey,Mr. Latimer
1374033,Lucy Brown,Ann Latimer
1140344,Rupert Evans,Frederick
0670403,Caroline Pegg,Mrs. Boucher
0267003,Tim Faraday,Watson
1490405,Travis Oliver,Captain Lennox
0187327,David Crellin,Slickson
1635500,Ian McHale,Stone
2177176,Spencer Wild,Tom Boucher
0490741,Frank Lauder,Stephens
0567057,Carl McCrystal,Henderson Worker
1947149,Shaun Hennessey,Henderson
0909762,Martin Walsh,Hamper
1214435,Charlie Cox,Matt Murdock
2832695,Deborah Ann Woll,Karen Page
0711805,Elden Henson,Foggy Nelson
0000352,Vincent D'Onofrio,Wilson Fisk
1912642,Royce Johnson,Sgt. Brett Mahoney
1256532,Jon Bernthal,Frank Castle
1392388,Elodie Yung,Elektra Natchios
0355910,Michael C. Hall,Dexter Morgan
1358539,Jennifer Carpenter,Debra Morgan
0953882,David Zayas,Sgt. Angel Batista
0001664,James Remar,Harry Morgan
0496934,C.S. Lee,Vince Masuka
0904967,Lauren Luna Vélez,Lt. Maria LaGuerta
0004993,Desmond Harrington,Det. Joseph 'Joey' Quinn
0004748,Julie Benz,Rita Bennett
2247732,Christina Robinson,Astor Bennett
0682762,Geoff Pierson,Deputy Chief Tom Matthews
2358709,Nathan Fielder,Nathan Fielder
0644022,Bob Odenkirk,Jimmy McGill
0052186,Jonathan Banks,Mike Ehrmantraut
0781533,Rhea Seehorn,Kim Wexler
0571106,Michael McKean,Chuck McGill
0264579,Patrick Fabian,Howard Hamlin
3103126,Michael Mando,Nacho Varga
0001579,Edward James Olmos,Admiral William Adama
0001521,Mary McDonnell,President Laura Roslin
0051397,Jamie Bamber,Cpt. Lee 'Apollo' Adama
0130536,James Callis,Dr. Gaius Baltar
1065454,Tricia Helfer,Number Six
0661825,Grace Park,Lt. Sharon 'Boomer' Valerii
0755267,Katee Sackhoff,Captain Kara 'Starbuck' Thrace
0389581,Michael Hogan,Colonel Saul Tigh
0234928,Aaron Douglas,Chief Galen Tyrol
0671886,Tahmoh Penikett,Captain Karl 'Helo' Agathon
0432228,Alessandro Juliani,Lt. Felix Gaeta
0565973,Kandyse McClure,Officer Anastasia Dualla
0722413,Donnelly Rhodes,Dr. Cottle
0167435,Nicki Clyne,Crewman Specialist Cally Henderson
0647453,Bodie Olmos,Lt. Brendan 'Hot Dog' Constanza
0873998,Michael Trucco,Samuel Anders
1489668,Leah Cairns,Racetrack
0788907,Rekha Sharma,Tory Foster
1128050,Chris Addison,Oliver Reeder
0808576,James Smith,Glenn Cullen
0134922,Peter Capaldi,Malcolm Tucker
0768936,Joanna Scanlan,Terri Coverley
0296410,Rebecca Front,Nicola Murray
1214783,Olivia Poulet,Emma Messinger
0291569,Vincent Franklin,Stewart Pearson
0810337,Will Smith,Phil Smith
0019885,Roger Allam,Peter Mannion
0000100,Rowan Atkinson,Edmund Blackadder
0570570,Tim McInnerny,Lord Percy
0733153,Tony Robinson,Baldrick
0001669,Miranda Richardson,Queen Elizabeth I
0000410,Stephen Fry,Lord Melchett
0126268,Patsy Byrne,Nursie
0014896,Tony Aitken,Minstrel
0000096,Gillian Anderson,Dana Scully
0000141,David Duchovny,Fox Mulder
0683379,Mitch Pileggi,Walter Skinner
0004821,Michael Chiklis,Vic Mackey
0219748,Catherine Dent,Danni Sofer
0324658,Walton Goggins,Shane Vendrell
0413052,Michael Jace,Julien Lowe
0439813,Jay Karnes,Holland Wagenbach
0553468,Benito Martinez,David Aceveda
0001634,CCH Pounder,Claudette Wyms
1108664,Cathy Cahlin Ryan,Corrine Mackey
0811027,David Rees Snell,Ronnie Gardocki
0425543,Kenny Johnson,Curtis Lemansky
0545687,David Marciano,Steve Billings
0202970,Larry David,Larry David
0307531,Jeff Garlin,Jeff Greene
0385644,Cheryl Hines,Cheryl David
0261435,Susie Essman,Susie Greene
0829537,Jon Stewart,Himself - Host
1741002,Matt Smith,The Doctor
0855039,David Tennant,The Doctor
0134922,Peter Capaldi,The Doctor
1982510,Jenna Coleman,Clara
2394794,Karen Gillan,Amy Pond
0684877,Billie Piper,Rose Tyler
1208004,Paul Kasey,Ood Sigma
0109070,Nicholas Briggs,Dalek
2965271,Arthur Darvill,Rory
2844233,Ruari Mears,Cyberman
1303956,Freema Agyeman,Martha Jones
0840539,Mayo Suzukaze,Kenshin Himura
0412585,Junko Iwao,Tomoe Yukishiro
0765815,Nozomu Sasaki,Enishi Yukishiro
0840632,Masami Suzuki,Shinta
0407454,Shûichi Ikeda,Seijûrô Hiko
0782840,Tomokazu Seki,Kogorô Katsura
0847085,Wataru Takagi,Shinsaku Takasugi
0620333,Ryûsei Nakao,Îzuka
0840721,Hirotaka Suzuoki,Hajime Saitô
0382534,Akari Hibino,Sôshi Okita
0879742,Minoru Uchida,Tatsumi
0412561,Tetsuya Iwanaga,Akira Kiyosato
1106566,Satoshi Tsuruoka,Jubei Shigekûra
0395975,Mitsuaki Hoshino,Katagai
1107309,Hiromi Setsu,Ikumatsu
0468711,Rikiya Koyama,Toshizô Hijikata
0847127,Hiroshi Takahashi,Isami Kondô
1050524,Hiroshi Shimozaki,Sudo
0605284,Norihisa Mori,Ishiji
0620327,Azusa Nakao,Kasumi
0620662,Noriko Namiki,Akane
0950631,Kaori Yuasa,Sakura
0645677,Shizuka Okohira,Landlady
1076799,Takahiro Hirano,Soldier
1816644,Teppei Takasugi,Soldier
1816815,Tomokazu Yokoyama,Soldier
0879958,Makoto Ueki,Patriot
1816659,Kôichi Tateishi,Brigand
0157407,Hidenori Konda,Brigand
0756910,Nobuyuki Saitô,Brigand
0619067,Mariko Nagahama,Shirakawa Woman
1817347,Sachiko Ikeda,Nobii
1817631,Miki Nôsô,Woman
0558086,Naomi Matamura,Woman
1815923,Reiji Kamiya,Additional Voices
1817804,Naoko Seto,Additional Voices
1828247,Mitsuyo Tanaka,Additional Voices
0410900,Mika Ishibashi,Additional Voices
1817531,Sachie Maruyama,Additional Voices
1140791,Lowell Bartholomee,Akira Kiyosato
0990434,Jose Brown,Kondo
0132285,Charles Campbell,Shigekura
0146219,Katherine Catmull,Katsu
1460777,Ken Cook,Additional Voices
1143700,Rebecca Davis,Tomoe Yukishiro
1458427,Martinique Duchene,Flower Vendor
1458538,Mallard Fillmore,Soudou
0273925,Lainie Frasier,Landlady
1389444,Corey Gagne,Katsura
1143354,Brian Gaston,Enishi
1404109,Samantha Inoue Harte,Additional Characters
1283450,Christa Kimlicko-Jones,Kasumi
1124115,Ellie McBride,Etoro
1459557,Tish Morone,Additional Voices
1446065,Noah Passavoy,Additional Voices
0679803,Jason Phelps,Takasugi
0791625,John Paul Shepard,Tatsumi
1143579,Boon Sheridan,Additional Voices
1421896,Jason P. Stingley,Additional Voices
0852301,Douglas Taylor,Katagai
0867175,Lara Toner,Ikumatsu
1446502,Kari Waggoner,Additional Voices
1143048,J. Shanon Weaver,Kenshin Himura
0916939,Ken Webster,Saitou
1143088,Cyndi Lou Williams,Urara
1131093,Joe York,Hiko
0203563,Alan Davies,Himself
0000410,Stephen Fry,Himself - Host
0370650,Nobutoshi Canna,Guts
0411167,Unshô Ishizuka,Narration
1827148,Marc Diraison,Guts
0998439,Kevin T. Collins,Griffith
1321026,Carrie Keranen,Caska
0594436,Yûko Miyamura,Caska
0605452,Toshiyuki Morikawa,Griffith
0410907,Akira Ishida,Judeau
0632769,Tomohiro Nishimura,Corkus
0911604,Jeff Ward,Pippin
0944985,Akiko Yajima,Rickert
1324216,Eiji Sekiguchi,Soldier A
1327264,Yasuyuki Kase,Soldier B
1307121,Hiroyuki Yokoo,Soldier A
0000100,Rowan Atkinson,"Edmund Blackadder, butler to the Prince"
0733153,Tony Robinson,"Baldrick, a dogsbody"
0491402,Hugh Laurie,"The Prince Regent, their master"
0040814,Helen Atkinson Wood,"Mrs. Miggins, a coffee shoppekeeper"
