id,leto
5491994,2016
0185906,2001
0795176,2006
0944947,2011
0944947,2012
0944947,2013
0944947,2014
0944947,2015
0944947,2016
0903747,2008
0903747,2009
0903747,2010
0903747,2011
0903747,2012
0903747,2013
0306414,2002
0306414,2003
0306414,2004
0306414,2005
0306414,2006
0306414,2007
0306414,2008
2395695,2014
2861424,2013
2861424,2014
2861424,2015
2861424,2016
0081846,1980
0081846,1981
0081846,1982
0081846,1983
0081846,1984
0081846,1985
0081846,1986
0081846,1987
0081846,1988
0081846,1989
0081846,1990
0081846,1991
0081846,1992
0081846,1993
0081846,1994
0081846,1995
0081846,1996
0081846,1997
0081846,1998
0081846,1999
0081846,2000
0081846,2001
0081846,2002
0081846,2003
0081846,2004
0081846,2005
0081846,2006
0081846,2007
0081846,2008
0081846,2009
0081846,2010
0081846,2011
0081846,2012
0081846,2013
0081846,2014
0081846,2015
0081846,2016
0141842,1999
0141842,2000
0141842,2001
0141842,2002
0141842,2003
0141842,2004
0141842,2005
0141842,2006
0141842,2007
1475582,2010
1475582,2011
1475582,2012
1475582,2013
1475582,2014
1475582,2015
1475582,2016
0071075,1973
0071075,1974
0071075,1975
0071075,1976
0071075,1977
0071075,1978
0071075,1979
0071075,1980
0071075,1981
0071075,1982
0071075,1983
0071075,1984
0071075,1985
0071075,1986
0071075,1987
0071075,1988
0071075,1989
0071075,1990
0071075,1991
0071075,1992
0071075,1993
0071075,1994
0071075,1995
0071075,1996
0071075,1997
0071075,1998
0071075,1999
0071075,2000
0071075,2001
0071075,2002
0071075,2003
0071075,2004
0071075,2005
0071075,2006
0071075,2007
0071075,2008
0071075,2009
0071075,2010
0071075,2011
0071075,2012
0071075,2013
0071075,2014
0071075,2015
0071075,2016
1533395,2009
1533395,2010
1533395,2011
1533395,2012
1533395,2013
1533395,2014
1533395,2015
1533395,2016
0098769,1990
0098769,1991
0098769,1992
0098769,1993
0098769,1994
0098769,1995
0098769,1996
0098769,1997
0098769,1998
0098769,1999
0098769,2000
0098769,2001
0098769,2002
0098769,2003
0098769,2004
0098769,2005
0098769,2006
0098769,2007
0098769,2008
0098769,2009
0098769,2010
0098769,2011
0098769,2012
0098769,2013
0098769,2014
0098769,2015
0098769,2016
0417299,2005
0417299,2006
0417299,2007
0417299,2008
0303461,2002
0303461,2003
1806234,2011
1806234,2012
1806234,2013
1806234,2014
1806234,2015
1806234,2016
3530232,2014
3530232,2015
3530232,2016
0092337,1989
0092337,1990
0052520,1959
0052520,1960
0052520,1961
0052520,1962
0052520,1963
0052520,1964
2356777,2014
2356777,2015
2356777,2016
0475784,2016
1355642,2009
1355642,2010
2802850,2014
2802850,2015
2802850,2016
0296310,2001
0296310,2002
0296310,2003
0296310,2004
0296310,2005
0296310,2006
0296310,2007
0296310,2008
0296310,2009
0296310,2010
0296310,2011
0296310,2012
0296310,2013
0296310,2014
0296310,2015
0296310,2016
2092588,2011
2092588,2012
2092588,2013
2092588,2014
2092588,2015
2092588,2016
0103359,1992
0103359,1993
0103359,1994
0103359,1995
4508902,2015
4508902,2016
0877057,2006
0877057,2007
0213338,1998
0213338,1999
0213338,2000
0213338,2001
0213338,2002
0213338,2003
1856010,2013
1856010,2014
1856010,2015
1856010,2016
0112130,1995
0112130,1996
0112130,1997
0112130,1998
0112130,1999
0112130,2000
0112130,2001
0112130,2002
0112130,2003
0112130,2004
0112130,2005
0112130,2006
0112130,2007
0112130,2008
0112130,2009
0112130,2010
0112130,2011
0112130,2012
0112130,2013
0112130,2014
0112130,2015
0112130,2016
0063929,1969
0063929,1970
0063929,1971
0063929,1972
0063929,1973
0063929,1974
0367279,2003
0367279,2004
0367279,2005
0367279,2006
0367279,2007
0367279,2008
0367279,2009
0367279,2010
0367279,2011
0367279,2012
0367279,2013
0367279,2014
0367279,2015
0367279,2016
0081834,1985
0081834,1986
0081834,1987
0081834,1988
0081834,1989
0081834,1990
0081834,1991
0081834,1992
0081834,1993
0081834,1994
0081834,1995
0081834,1996
0081834,1997
0081834,1998
0081834,1999
0081834,2000
0081834,2001
0081834,2002
0081834,2003
0081834,2004
0081834,2005
0081834,2006
0081834,2007
0081834,2008
0081834,2009
0081834,2010
0081834,2011
0081834,2012
0081834,2013
0081834,2014
0081834,2015
0081834,2016
4742876,2015
4742876,2016
4574334,2016
3718778,2014
3718778,2015
3718778,2016
5712554,2016
1518542,2004
1518542,2005
1518542,2006
0098904,1989
0098904,1990
0098904,1991
0098904,1992
0098904,1993
0098904,1994
0098904,1995
0098904,1996
0098904,1997
0098904,1998
2707408,2015
2707408,2016
0098936,1990
0098936,1991
2085059,2011
2085059,2012
2085059,2013
2085059,2014
2085059,2015
2085059,2016
0108778,1994
0108778,1995
0108778,1996
0108778,1997
0108778,1998
0108778,1999
0108778,2000
0108778,2001
0108778,2002
0108778,2003
0108778,2004
0074006,1976
0074006,1977
0074006,1978
0074006,1979
0074006,1980
0074006,1981
0074006,1982
0074006,1983
0074006,1984
0074006,1985
0074006,1986
0074006,1987
0074006,1988
0074006,1989
0074006,1990
0074006,1991
0074006,1992
0074006,1993
0074006,1994
0074006,1995
0074006,1996
0074006,1997
0074006,1998
0074006,1999
0074006,2000
0074006,2001
0074006,2002
0074006,2003
0074006,2004
0074006,2005
0074006,2006
0074006,2007
0074006,2008
0074006,2009
0074006,2010
0074006,2011
0074006,2012
0074006,2013
0074006,2014
0074006,2015
0074006,2016
0081912,1981
0081912,1982
0081912,1983
0081912,1984
0081912,1985
0081912,1986
0081912,1987
0081912,1988
0081912,1989
0081912,1990
0081912,1991
0081912,1992
0081912,1993
0081912,1994
0081912,1995
0081912,1996
0081912,1997
0081912,1998
0081912,1999
0081912,2000
0081912,2001
0081912,2002
0081912,2003
0193676,1999
0193676,2000
0096548,1989
1865718,2012
1865718,2013
1865718,2014
1865718,2015
1865718,2016
0384766,2005
0384766,2006
0384766,2007
0072500,1975
0072500,1976
0072500,1977
0072500,1978
0072500,1979
4786824,2016
0118421,1997
0118421,1998
0118421,1999
0118421,2000
0118421,2001
0118421,2002
0118421,2003
0096697,1989
0096697,1990
0096697,1991
0096697,1992
0096697,1993
0096697,1994
0096697,1995
0096697,1996
0096697,1997
0096697,1998
0096697,1999
0096697,2000
0096697,2001
0096697,2002
0096697,2003
0096697,2004
0096697,2005
0096697,2006
0096697,2007
0096697,2008
0096697,2009
0096697,2010
0096697,2011
0096697,2012
0096697,2013
0096697,2014
0096697,2015
0096697,2016
5189670,2015
5189670,2016
0090509,1986
0090509,1987
0090509,1988
4299972,2015
4299972,2016
0121955,1997
0121955,1998
0121955,1999
0121955,2000
0121955,2001
0121955,2002
0121955,2003
0121955,2004
0121955,2005
0121955,2006
0121955,2007
0121955,2008
0121955,2009
0121955,2010
0121955,2011
0121955,2012
0121955,2013
0121955,2014
0121955,2015
0121955,2016
0214341,1996
0214341,1997
0214341,1998
0214341,1999
0214341,2000
0214341,2001
0214341,2002
0214341,2003
5555260,2016
0120570,1998
1486217,2009
1486217,2010
1486217,2011
1486217,2012
1486217,2013
1486217,2014
1486217,2015
1486217,2016
0412142,2004
0412142,2005
0412142,2006
0412142,2007
0412142,2008
0412142,2009
0412142,2010
0412142,2011
0412142,2012
0472954,2005
0472954,2006
0472954,2007
0472954,2008
0472954,2009
0472954,2010
0472954,2011
0472954,2012
0472954,2013
0472954,2014
0472954,2015
0472954,2016
1628033,2002
1628033,2003
1628033,2004
1628033,2005
1628033,2006
1628033,2007
1628033,2008
1628033,2009
1628033,2010
1628033,2011
1628033,2012
1628033,2013
1628033,2014
1628033,2015
1628033,2016
2560140,2013
2560140,2014
2560140,2015
2560140,2016
0386676,2005
0386676,2006
0386676,2007
0386676,2008
0386676,2009
0386676,2010
0386676,2011
0386676,2012
0386676,2013
2098220,2011
2098220,2012
2098220,2013
2098220,2014
2098220,2015
2098220,2016
5288312,2015
5288312,2016
1910272,2011
1910272,2012
1910272,2013
1910272,2014
1910272,2015
1910272,2016
0248654,2001
0248654,2002
0248654,2003
0248654,2004
0248654,2005
0353049,2003
0353049,2004
0353049,2005
0353049,2006
5425186,2016
2442560,2013
2442560,2014
2442560,2015
2442560,2016
0086661,1984
0086661,1985
0121220,1989
0121220,1990
0121220,1991
0121220,1992
0121220,1993
0121220,1994
0121220,1995
0121220,1996
0200276,1999
0200276,2000
0200276,2001
0200276,2002
0200276,2003
0200276,2004
0200276,2005
0200276,2006
0403778,2004
0403778,2005
0403778,2006
