id,naslov,opis,leto,dolzina,epizode,ocena,st_glasov
0193676,Freaks and Geeks,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,1999-2000,44,18,8.9,97650
0096548,Blackadder Goes Forth,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",1989-,20,6,8.8,34833
1865718,Gravity Falls,Twin siblings Dipper and Mabel Pines spend the summer at their uncle's tourist trap in the enigmatic town of Gravity Falls.,2012-2016,23,40,8.9,28086
0384766,Rome,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,2005-2007,60,22,8.8,118717
0072500,Fawlty Towers,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",1975-1979,30,12,8.8,61949
4786824,The Crown,The early reign of Queen Elizabeth II of the United Kingdom is portrayed.,2016-,52,13,8.9,22457
0096697,The Simpsons,The satiric adventures of a working-class family in the misfit city of Springfield.,1989-,22,618,8.8,279570
0118421,Oz,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,1997-2003,55,56,8.8,69702
5189670,Making a Murderer,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",2015-,60,14,8.8,48747
0090509,The Return of Sherlock Holmes,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",1986-1988,60,11,8.9,5902
4299972,The Jinx: The Life and Deaths of Robert Durst,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon, Robert Durst, the key suspect in a series of unsolved crimes.",2015-,40,6,8.8,22008
0121955,South Park,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",1997-,22,281,8.8,251555
0214341,Dragon Ball Z,"After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",1996-2003,24,277,8.8,82393
0120570,From the Earth to the Moon,Dramatized portrayal of the Apollo manned space program.,1998-,60,12,8.8,8124
1486217,Archer,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,2009-,22,93,8.8,96080
0412142,House,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,2004-2012,44,176,8.8,319888
5555260,This Is Us,"Follows a unique ensemble, as their paths cross and their life stories interwine, from sharing the same birthday, to so much more than anyone would expect.",2016-,45,54,8.9,17286
1628033,Top Gear,The hosts talk about everything car-related.,2002-,60,243,8.8,84582
0472954,It's Always Sunny in Philadelphia,Four young friends with big egos and slightly arrogant attitudes are the proprietors of an Irish bar in Philadelphia.,2005-,22,153,8.8,139733
2560140,Attack on Titan,"After his hometown is destroyed and his mother is killed, young Eren Jaegar vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",2013-,24,31,8.8,71580
0386676,The Office,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",2005-2013,22,188,8.8,212420
2098220,Hunter x Hunter,"Gon Freecs a young boy aspires to become a Hunter, an exceptionnal being capable of greatness.",2011-,24,148,8.9,20178
1910272,Steins;Gate,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",2011-,24,26,8.8,19680
0248654,Six Feet Under,A drama series that takes a darkly comical look at members of a dysfunctional California family that runs an independent funeral home.,2001-2005,55,63,8.8,94658
0353049,Chappelle's Show,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,2003-2006,22,33,8.7,37065
5425186,Horace and Pete,Horace and Pete is an American comedy-drama web series created by Louis C.,2016-,60,10,8.8,7953
2442560,Peaky Blinders,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",2013-,60,30,8.8,71801
5288312,Skam,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life.",2015-,30,33,9.1,8175
0121220,Dragon Ball Z,The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin.,1989-1996,24,291,8.8,43730
0086661,The Adventures of Sherlock Holmes,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",1984-1985,60,13,8.8,14367
0200276,The West Wing,Inside the lives of staffers in the West Wing of the White House.,1999-2006,44,155,8.8,46296
0403778,Long Way Round,This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world.,2004-,27,11,8.8,8948
0348914,Deadwood,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",2004-2006,55,36,8.7,68513
0096639,Lonesome Dove,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,1989-,90,4,8.8,15493
0417349,North & South,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",2004-,45,4,8.8,22028
3322312,Daredevil,"Matt Murdock, with his other senses superhumanly enhanced, fights crime as a blind lawyer by day, and vigilante by night.",2015-,54,27,8.8,237455
0773262,Dexter,"Dexter Morgan is a Forensics Expert, a loyal brother, boyfriend, and friend.",2006-2013,53,96,8.8,517540
2297757,Nathan for You,Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit.,2013-,30,25,8.8,7101
3032476,Better Call Saul,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time leading up to establishing his strip-mall law office in Albuquerque, New Mexico.",2015-,46,30,8.7,168450
0407362,Battlestar Galactica,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",2004-2009,44,73,8.7,124467
0459159,The Thick of It,"Set in the corridors of power and spin, the Minister for Social Affairs, is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.",2005-2012,29,24,8.7,13218
0088484,Black-Adder II,"In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",1986-,20,6,8.7,31017
0106179,The X-Files,"Two FBI agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained while hidden forces work to impede their efforts.",1993-,45,207,8.7,155398
0286486,The Shield,The lives and cases of a dirty LAPD cop and the police unit under his command.,2002-2008,47,89,8.7,57374
0264235,Curb Your Enthusiasm,The life and times of Larry David and the predicaments he gets himself in with his friends and complete strangers.,2000-,28,81,8.7,69276
0115147,The Daily Show,"Providing comedy/news in the tradition of TV Nation and SNL's Weekend Update, Comedy Central's Daily Show reports on the foibles and of the real world with a satirical edge.",1996-,22,3235,8.7,35327
0436992,Doctor Who,The further adventures of the time traveling alien adventurer and his companions.,2005-,45,167,8.8,154802
0203082,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",1999-,60,4,8.8,7637
0380136,QI,A comedy panel game in which being Quite Interesting is more important than being right.,2003-,30,217,8.7,22700
0318871,Berserk,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.",1997-,22,25,8.7,16097
0092324,Black Adder the Third,"In the Regency era, Mr E.",1987-,30,6,8.7,29061
0094517,Mystery Science Theater 3000,"In the not-too-distant future, a man and his robots are trapped aboard the Satellite of Love, where mad scientists force them to sit through the worst movies ever made.",1988-1999,60,213,8.7,17548
0086831,"Yes, Prime Minister",James Hacker was propelled along the corridors of power to the very pinnacle of politics - No.,1986-1987,30,16,8.8,5071
1513168,Through the Wormhole,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity.",2010-,60,60,8.7,11988
0994314,Code Geass: Lelouch of the Rebellion,The Empire of Britannia has invaded Japan using giant robot weapons called Knightmare Frames.,2006-2007,24,52,8.7,27981
2401256,The Night Of,"After a night of partying with a female stranger, a man wakes up to find her stabbed to death and is charged with her murder.",2016-,60,9,8.7,56592
0187664,Spaced,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",1999-2001,25,14,8.7,40928
0118273,Brass Eye,Controversal spoof of current-affairs TV and the role of celebrity in the UK.,1997-2001,25,7,8.7,6946
1586680,Shameless,An alcoholic man lives in a perpetual stupor while his six children with whom he lives cope as best they can.,2011-,46,96,8.7,111327
1606375,Downton Abbey,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early 20th Century.,2010-2015,58,52,8.7,117976
0421357,Fullmetal Alchemist,"The Elric brothers' deciding to perform a forbidden human transmutation to bring their dead mother back, they end up losing their bodies.",2003-2004,24,51,8.7,41251
4158110,Mr. Robot,"Follows Elliot, a young programmer working as a cyber-security engineer by day, and a vigilante hacker by night.",2015-,49,23,8.7,202749
0314979,Battlestar Galactica,"A re-imagining of the original series in which a rag-tag fugitive fleet of the last remnants of mankind flees pursuing robots while simultaneously searching for their true home, Earth.",2003-,90,2,8.6,50823
0092455,Star Trek: The Next Generation,"Set decades after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in a new Enterprise on their own mission to go where no one has gone before.",1987-1994,44,176,8.6,68473
1641384,Young Justice,Teenage superheroes strive to prove themselves as members of the Justice League.,2010-,23,47,8.7,19328
0080306,Yes Minister,The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration.,1980-1984,60,22,8.7,7642
1492966,Louie,"The life of Louis CK, a divorced comedian with two kids living in New York.",2010-,22,61,8.6,61619
0995832,Generation Kill,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.",2008-,60,7,8.6,35905
0388629,One Piece,Follows the adventures of Monkey D.,1999-,24,772,8.7,43252
0804503,Mad Men,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",2007-2015,47,92,8.6,149160
1266020,Parks and Recreation,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,2009-2015,22,125,8.6,130960
1305826,Adventure Time,"A human boy named Finn and adoptive brother and best friend Jake the Dog, protect the citizens of the Land of Ooo from foes of various shapes and sizes.",2010-,11,261,8.7,51096
2100976,Impractical Jokers,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",2011-,30,135,8.7,19386
0423731,Samurai Champloo,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the samurai who smells of sunflowers.",2004-2005,24,26,8.6,25704
0758745,Friday Night Lights,"The trials and tribulations of small town Texas football players, their friends, family, and coaching staff.",2006-2011,44,76,8.7,44374
0472027,John Adams,"The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.",2008-,60,7,8.6,20677
0053488,The Bugs Bunny Show,"Bugs Bunny, the famous, Oscar-winning cartoon rabbit, hosts his first weekly television series, along with all his fellow Warner Brothers cartoon stars, including Daffy Duck, Porky Pig, .",1960-1975,30,53,8.6,20200
3671754,Kardes Payi,The two brothers have a plumbing company and they are trying to invent something that would make the world a better place.,2014-2015,60,35,8.9,9073
0111958,Father Ted,"Crazy sitcom about 3 priests and their housekeeper who live on Craggy Island, not the peaceful and quiet part of Ireland it seems!",1995-1998,25,25,8.6,27424
0434706,Monster,A brilliant neurosurgeon living in Germany finds his life in utter turmoil after getting involved with a psychopath that was once a former patient.,2004-2010,24,77,8.7,10800
0863046,Flight of the Conchords,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",2007-2009,28,22,8.6,44227
1227926,Dr. Horrible's Sing-Along Blog,An aspiring supervillain must balance his career and his pursuit of a beautiful do-gooder.,2008-,42,3,8.6,35662
0098825,House of Cards,Francis Urquhart is the chief whip of the Conservative party.,1990-,45,4,8.7,8651
0275137,Justice League,Seven of the most formidable heroes form arguably the most powerful team ever.,2001-2004,22,52,8.6,28568
1489428,Justified,Old-school U.,2010-2015,44,78,8.6,66437
2049116,Gomorrah,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate.,2014-,55,26,8.7,11816
1733785,The Bridge,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Nor&eacute;n have to share jurisdiction and work together to find the killer.",2011-,60,31,8.6,32501
0112159,Neon Genesis Evangelion,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,1995-1996,24,26,8.6,28359
